traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
400,0,-1,0,0,-1,0
401,0,-1,0,0,-1,0
402,0,-1,0,0,-1,0
403,0,-1,0,0,-1,0
404,0,-1,0,0,-1,0
405,0,-1,0,0,-1,0
406,0,-1,0,0,-1,0
407,0,-1,0,0,-1,0
408,1,298,1,1,300,3
409,0,-1,0,0,-1,0
410,1,304,1,1,303,1
411,0,-1,0,0,-1,0
412,1,287,1,1,290,1
413,0,-1,0,0,-1,0
414,0,-1,0,0,-1,0
415,0,-1,0,0,-1,0
416,0,-1,0,0,-1,0
417,1,343,3,1,340,1
418,0,-1,0,0,-1,0
419,0,-1,0,0,-1,0
420,1,309,1,1,316,1
421,1,323,1,1,322,1
422,1,282,1,1,283,1
423,0,-1,0,0,-1,0
424,0,-1,0,0,-1,0
425,0,-1,0,0,-1,0
426,0,-1,0,0,-1,0
427,1,357,1,1,357,3
428,0,-1,0,0,-1,0
429,0,-1,0,0,-1,0
430,0,-1,0,0,-1,0
431,1,270,1,1,272,1
432,0,-1,0,0,-1,0
433,0,-1,0,0,-1,0
434,0,-1,0,0,-1,0
435,1,299,1,1,301,3
436,0,-1,0,0,-1,0
437,0,-1,0,0,-1,0
438,0,-1,0,0,-1,0
439,1,266,1,1,270,1
440,0,-1,0,0,-1,0
441,1,293,1,1,295,3
442,1,319,1,1,311,1
443,0,-1,0,0,-1,0
444,0,-1,0,0,-1,0
445,0,-1,0,0,-1,0
446,0,-1,0,0,-1,0
447,0,-1,0,0,-1,0
448,1,349,1,1,359,3
449,0,-1,0,0,-1,0
450,0,-1,0,0,-1,0
451,0,-1,0,0,-1,0
452,0,-1,0,0,-1,0
453,1,277,1,1,275,3
454,0,-1,0,0,-1,0
455,1,279,1,1,280,1
456,0,-1,0,0,-1,0
457,0,-1,0,0,-1,0
458,0,-1,0,0,-1,0
459,0,-1,0,0,-1,0
460,0,-1,0,0,-1,0
461,0,-1,0,0,-1,0
462,0,-1,0,0,-1,0
463,0,-1,0,0,-1,0
464,1,351,1,1,340,1
465,0,-1,0,0,-1,0
466,1,277,1,1,281,1
467,0,-1,0,0,-1,0
468,0,-1,0,0,-1,0
469,0,-1,0,0,-1,0
470,1,284,1,1,286,1
471,0,-1,0,0,-1,0
472,0,-1,0,0,-1,0
473,0,-1,0,0,-1,0
474,0,-1,0,0,-1,0
475,1,307,1,1,324,1
476,0,-1,0,0,-1,0
477,0,-1,0,0,-1,0
478,0,-1,0,0,-1,0
479,0,-1,0,0,-1,0
480,1,299,1,1,302,1
481,0,-1,0,0,-1,0
482,0,-1,0,0,-1,0
483,0,-1,0,0,-1,0
484,1,312,1,1,317,1
485,1,292,1,1,305,1
486,1,289,1,1,312,1
487,0,-1,0,0,-1,0
488,0,-1,0,0,-1,0
489,0,-1,0,0,-1,0
490,0,-1,0,0,-1,0
