Date,n_sectors,rho,sigma_single,sigma_port,DB,DB_theory,DB_max,NFCI,VIX
2018-05-17,10,0.6108493353470601,0.18004348885484275,0.14772989281696292,1.2187343090942084,1.240572194392079,3.1622776601683795,-0.56,13.43000030517578
2018-05-18,10,0.6107641147788324,0.17985702029640324,0.14761649746959543,1.2184073147613355,1.2406454197525574,3.1622776601683795,-0.565,13.420000076293944
2018-05-21,10,0.5975042571662426,0.17702625181359052,0.14451046056128866,1.2250064882916314,1.2521993147707107,3.1622776601683795,-0.565,13.079999923706056
2018-05-22,10,0.5942111712282206,0.17647602016472166,0.14362563160302474,1.2287223261965805,1.2551191133385926,3.1622776601683795,-0.565,13.220000267028809
2018-05-23,10,0.58179537184993,0.17401033731888188,0.14074025143507896,1.2363935373467045,1.2663140717288548,3.1622776601683795,-0.565,12.579999923706056
2018-05-24,10,0.5734763486578787,0.17253458948529354,0.13870571662053988,1.243889535982861,1.2739848853630236,3.1622776601683795,-0.565,12.529999732971191
2018-05-25,10,0.5669915196791397,0.17180378477402608,0.13720862310591048,1.2521354772390056,1.280062074750098,3.1622776601683795,-0.565,13.220000267028809
2018-05-29,10,0.5657547008870438,0.17351377317014774,0.1385443887037039,1.2524056354330644,1.2812310525771005,3.1622776601683795,-0.565,17.020000457763672
2018-05-30,10,0.5654929105689036,0.17408458157556359,0.13919703740824296,1.250634243493279,1.281478894324985,3.1622776601683795,-0.565,14.9399995803833
2018-05-31,10,0.5696837506998148,0.1744534358414139,0.13997288244715303,1.2463373818659416,1.277528538710055,3.1622776601683795,-0.565,15.43000030517578
2018-06-01,10,0.5652422701445482,0.1755323942082245,0.14053880607045102,1.2489959116361886,1.2817163150815842,3.1622776601683795,-0.56,13.460000038146973
2018-06-04,10,0.5603283727760319,0.17585374352621605,0.14035889578883873,1.2528863421010175,1.2863978547022223,3.1622776601683795,-0.56,12.739999771118164
2018-06-05,10,0.5507661938474341,0.17320953159699434,0.13707042538288652,1.263653564313078,1.2956568646085966,3.1622776601683795,-0.56,12.399999618530272
