xi,target,J,h_eff_star,h0_star_pred_window,h0_star_pred_equil
0.35,0.1,4.86,0.7081674394366403,3.540837197183201,0.10116677706237719
0.35,0.1,4.87,0.7093550660944954,3.5467753304724767,0.10133643801349934
0.35,0.1,4.88,0.7105403860451377,3.5527019302256884,0.10150576943501967
0.35,0.1,4.89,0.7117234110217072,3.558617055108536,0.10167477300310103
0.35,0.1,4.9,0.712904152657006,3.5645207632850298,0.10184345037957229
0.35,0.1,4.91,0.714082622484702,3.57041311242351,0.10201180321210028
0.35,0.1,4.92,0.7152588319405166,3.576294159702583,0.10217983313435952
0.35,0.1,4.93,0.7164327923633905,3.5821639618169523,0.10234754176619865
0.35,0.1,4.94,0.7176045149966351,3.5880225749831753,0.10251493071380502
0.35,0.1,4.95,0.7187740109890625,3.593870054945312,0.10268200156986607
0.35,0.1,4.96,0.7199412913961024,3.599706456980512,0.10284875591372891
0.35,0.1,4.97,0.7211063671808998,3.605531835904499,0.10301519531155712
0.35,0.1,4.98,0.7222692492153955,3.611346246076977,0.10318132131648507
0.35,0.1,4.99,0.7234299482813928,3.617149741406964,0.1033471354687704
0.35,0.1,5.0,0.7245884750716051,3.622942375358025,0.10351263929594358
0.35,0.2,2.5,0.20356253818499875,1.0178126909249936,0.029080362597856964
0.35,0.2,2.51,0.20558101666760034,1.0279050833380017,0.02936871666680005
0.35,0.2,2.52,0.20757959567289955,1.0378979783644977,0.029654227953271363
0.35,0.2,2.53,0.2095588446392726,1.0477942231963628,0.02993697780561037
0.35,0.2,2.54,0.21151930628630194,1.0575965314315097,0.030217043755185993
0.35,0.2,2.55,0.21346149833839728,1.0673074916919862,0.030494499762628184
0.35,0.2,2.56,0.21538591510798152,1.0769295755399075,0.03076941644399736
0.35,0.2,2.57,0.21729302895201982,1.086465144760099,0.031041861278859974
0.35,0.2,2.58,0.21918329161412825,1.095916458070641,0.031311898802018324
0.35,0.2,2.59,0.2210571354629234,1.105285677314617,0.03157959078041763
0.35,0.2,2.6,0.22291497463634052,1.1145748731817025,0.031844996376620076
0.35,0.2,2.61,0.22475720610048197,1.1237860305024099,0.032108172300068856
0.35,0.2,2.62,0.22658421063067458,1.1329210531533729,0.032369172947239226
0.35,0.2,2.63,0.22839635372110484,1.141981768605524,0.032628050531586406
0.35,0.2,2.64,0.23019398643220623,1.1509699321610312,0.03288485520460089
0.35,0.2,2.65,0.2319774461738347,1.1598872308691734,0.033139635167690674
0.35,0.2,2.66,0.23374705743922963,1.168735287196148,0.033392436777032804
0.35,0.2,2.67,0.23550313248675736,1.1775156624337868,0.033643304640965335
0.35,0.2,2.68,0.2372459719765055,1.1862298598825274,0.03389228171092935
0.35,0.2,2.69,0.23897586556490655,1.1948793278245327,0.03413940936641522
0.35,0.2,2.7,0.24069309246072476,1.2034654623036238,0.03438472749438925
0.35,0.2,2.71,0.24239792194543056,1.2119896097271528,0.03462827456363294
0.35,0.2,2.72,0.24409061386071093,1.2204530693035547,0.03487008769438728
0.35,0.2,2.73,0.24577141906562097,1.2288570953281048,0.03511020272366014
0.35,0.2,2.74,0.24744057986565132,1.2372028993282564,0.03534865426652162
0.35,0.2,2.75,0.2490983304157956,1.2454916520789778,0.03558547577368509
0.35,0.2,2.76,0.2507448970995166,1.2537244854975829,0.035820699585645224
0.35,0.2,2.77,0.2523804988853496,1.2619024944267478,0.03605435698362137
0.35,0.2,2.78,0.25400534766273536,1.2700267383136767,0.03628647823753362
0.35,0.2,2.79,0.25561964855854324,1.278098242792716,0.03651709265122046
0.35,0.2,2.8,0.25722360023562296,1.2861180011781148,0.03674622860508899
0.35,0.2,2.81,0.2588173951746172,1.294086975873086,0.036973913596373885
0.35,0.2,2.82,0.26040121994017007,1.3020060997008502,0.03720017427716715
0.35,0.2,2.83,0.2619752554325724,1.3098762771628618,0.037425036490367485
0.35,0.2,2.84,0.2635396771258058,1.3176983856290287,0.03764852530368654
0.35,0.2,2.85,0.26509465529287596,1.3254732764643797,0.037870665041839426
0.35,0.2,2.86,0.2666403552192522,1.3332017760962611,0.038091479317036034
0.35,0.2,2.87,0.268176937405175,1.340884687025875,0.038310991057882146
0.35,0.2,2.88,0.26970455775752794,1.3485227887876396,0.038529222536789705
0.35,0.2,2.89,0.2712233677719317,1.3561168388596583,0.03874619539599024
0.35,0.2,2.9,0.2727335147056552,1.363667573528276,0.03896193067223646
0.35,0.2,2.91,0.27423514174190894,1.3711757087095446,0.039176448820272707
0.35,0.2,2.92,0.27572838814603684,1.3786419407301842,0.03938976973514812
0.35,0.2,2.93,0.27721338941409185,1.3860669470704592,0.039601912773441696
0.35,0.2,2.94,0.2786902774142405,1.3934513870712024,0.03981289677346293
0.35,0.2,2.95,0.2801591805214213,1.4007959026071064,0.04002274007448876
0.35,0.2,2.96,0.28162022374563994,1.4081011187281995,0.04023146053509142
0.35,0.2,2.97,0.28307352885426834,1.4153676442713417,0.040439075550609764
0.35,0.2,2.98,0.2845192144886871,1.4225960724434354,0.04064560206981244
0.35,0.2,2.99,0.2859573962755855,1.4297869813779274,0.04085105661079792
0.35,0.2,3.0,0.2873881869332158,1.4369409346660789,0.04105545527617368
0.35,0.2,3.01,0.2888116963728821,1.4440584818644104,0.04125881376755459
0.35,0.2,3.02,0.29022803179591705,1.4511401589795851,0.04146114739941672
0.35,0.2,3.03,0.2916372977863918,1.458186488931959,0.041662471112341684
0.35,0.2,3.04,0.2930395963997886,1.465197981998943,0.04186279948568409
0.35,0.2,3.05,0.29443502724784404,1.4721751362392201,0.042062146749692005
0.35,0.2,3.06,0.2958236875797685,1.4791184378988425,0.04226052679710979
0.35,0.2,3.07,0.29720567236002443,1.486028361800122,0.0424579531942892
0.35,0.2,3.08,0.2985810743428436,1.4929053717142178,0.0426544391918348
0.35,0.2,3.09,0.2999499841436464,1.4997499207182319,0.042849997734806626
0.35,0.2,3.1,0.30131249030752155,1.5065624515376077,0.04304464147250308
0.35,0.2,3.11,0.30266867937491043,1.513343396874552,0.04323838276784435
