J,summary,arm_lo,arm_hi,d_amp,d_amp_ci_lo,d_amp_ci_hi,amp_resolved,p_lo,p_hi,d_p,d_p_ci_lo,d_p_ci_hi,p_resolved,is_violation,violation_resolved
5.0,win_mean,passive,stress_a0.05,0.028571921013916535,0.02672782898509895,0.030379034608313777,True,0.2995,0.2865,-0.013000000000000012,-0.018000000000000016,-0.008499999999999952,True,False,False
5.0,win_mean,stress_a0.05,stress_a2.0,0.37650915563227344,0.35289733873496487,0.4002601887779322,True,0.2865,0.0,-0.2865,-0.3065,-0.267,True,False,False
5.0,win_mean,stress_a2.0,quadratic,0.04631373828552565,0.019974555773771916,0.07264507309603188,True,0.0,0.157,0.157,0.1415,0.173,True,True,True
5.0,win_mean,quadratic,coupling_a0.7,1.1554313670855847,1.153547432756247,1.1573328936289793,True,0.157,0.0235,-0.1335,-0.14800000000000002,-0.119,True,False,False
5.0,cond_m_neg,passive,stress_a0.05,0.07382787517765899,0.07112909022920534,0.07645100104544911,True,0.2995,0.2865,-0.013000000000000012,-0.018000000000000016,-0.008499999999999952,True,False,False
5.0,cond_m_neg,stress_a0.05,quadratic,0.34342917256830785,0.33996283586098414,0.34697969600374273,True,0.2865,0.157,-0.12949999999999998,-0.1445,-0.11500000000000002,True,False,False
5.0,cond_m_neg,quadratic,stress_a2.0,1.0259630446905952,0.9799136073345188,1.0722139592942463,True,0.157,0.0,-0.157,-0.173,-0.1415,True,False,False
5.0,cond_m_neg,stress_a2.0,coupling_a0.7,0.021629166353180684,-0.02491743492497655,0.06787411240998055,False,0.0,0.0235,0.0235,0.017,0.03,True,True,False
5.0,cond_m_neg_collapsers,passive,stress_a0.05,0.09515152466695465,0.09174931531500745,0.09856254548635407,True,0.2995,0.2865,-0.013000000000000012,-0.018000000000000016,-0.008499999999999952,True,False,False
5.0,cond_m_neg_collapsers,stress_a0.05,quadratic,0.31282940111700386,0.3075764562773248,0.3182838267767662,True,0.2865,0.157,-0.12949999999999998,-0.1445,-0.11500000000000002,True,False,False
5.0,cond_m_neg_collapsers,quadratic,coupling_a0.7,1.0041323226944434,0.9852176906889989,1.0239811243219525,True,0.157,0.0235,-0.1335,-0.14800000000000002,-0.119,True,False,False
5.0,amp_over_lam,passive,stress_a0.05,0.02442033452416731,0.022846937938148813,0.02596355690555762,True,0.2995,0.2865,-0.013000000000000012,-0.018000000000000016,-0.008499999999999952,True,False,False
5.0,amp_over_lam,stress_a0.05,stress_a2.0,0.42442017994985537,0.38948865390085974,0.4611663885938955,True,0.2865,0.0,-0.2865,-0.3065,-0.267,True,False,False
5.0,amp_over_lam,stress_a2.0,quadratic,0.07206000465332896,0.031712063039073764,0.11085770186642187,True,0.0,0.157,0.157,0.1415,0.173,True,True,True
5.0,amp_over_lam,quadratic,coupling_a0.7,158.7200506452203,127.37795241325269,211.7766331886295,True,0.157,0.0235,-0.1335,-0.14800000000000002,-0.119,True,False,False
