entity,code,year,libdem,foe,csp,J,h,libdem_lag,h_lag,J_lag,delta_libdem,hxJ_lag,libdem_x_J_lag
Poland,POL,2015,0.775,0.951,0.753,0.049000000000000044,0.753,0.812,0.845,0.030000000000000027,-0.03700000000000003,0.025350000000000022,0.024360000000000024
Poland,POL,2016,0.598,0.722,0.681,0.278,0.681,0.775,0.753,0.049000000000000044,-0.17700000000000005,0.036897000000000034,0.037975000000000037
Poland,POL,2017,0.542,0.692,0.637,0.30800000000000005,0.637,0.598,0.681,0.278,-0.05599999999999994,0.18931800000000004,0.166244
Poland,POL,2018,0.524,0.692,0.634,0.30800000000000005,0.634,0.542,0.637,0.30800000000000005,-0.018000000000000016,0.19619600000000004,0.16693600000000003
Poland,POL,2019,0.505,0.68,0.634,0.31999999999999995,0.634,0.524,0.634,0.30800000000000005,-0.019000000000000017,0.19527200000000003,0.16139200000000004
Poland,POL,2020,0.45,0.68,0.621,0.31999999999999995,0.621,0.505,0.634,0.31999999999999995,-0.05499999999999999,0.20287999999999998,0.16159999999999997
Poland,POL,2021,0.424,0.635,0.571,0.365,0.571,0.45,0.621,0.31999999999999995,-0.026000000000000023,0.19871999999999998,0.144
Poland,POL,2022,0.417,0.606,0.556,0.394,0.556,0.424,0.571,0.365,-0.007000000000000006,0.208415,0.15475999999999998
Poland,POL,2023,0.457,0.659,0.539,0.34099999999999997,0.539,0.417,0.556,0.394,0.040000000000000036,0.21906400000000004,0.164298
Poland,POL,2024,0.613,0.911,0.729,0.08899999999999997,0.729,0.457,0.539,0.34099999999999997,0.15599999999999997,0.183799,0.155837
Poland,POL,2025,0.645,0.917,0.729,0.08299999999999996,0.729,0.613,0.729,0.08899999999999997,0.03200000000000003,0.06488099999999998,0.05455699999999998
Russia,RUS,2000,0.223,0.602,0.54,0.398,0.54,,,,,,
Russia,RUS,2001,0.201,0.548,0.499,0.45199999999999996,0.499,0.223,0.54,0.398,-0.021999999999999992,0.21492000000000003,0.088754
Russia,RUS,2002,0.175,0.52,0.442,0.48,0.442,0.201,0.499,0.45199999999999996,-0.026000000000000023,0.22554799999999997,0.090852
Russia,RUS,2003,0.165,0.478,0.442,0.522,0.442,0.175,0.442,0.48,-0.009999999999999981,0.21216,0.08399999999999999
Russia,RUS,2004,0.153,0.458,0.442,0.542,0.442,0.165,0.442,0.522,-0.01200000000000001,0.230724,0.08613000000000001
Russia,RUS,2005,0.149,0.455,0.4,0.5449999999999999,0.4,0.153,0.442,0.542,-0.0040000000000000036,0.23956400000000003,0.082926
Russia,RUS,2006,0.15,0.452,0.4,0.548,0.4,0.149,0.4,0.5449999999999999,0.0010000000000000009,0.21799999999999997,0.08120499999999999
Russia,RUS,2007,0.146,0.444,0.406,0.556,0.406,0.15,0.4,0.548,-0.0040000000000000036,0.21920000000000003,0.08220000000000001
Russia,RUS,2008,0.139,0.433,0.423,0.567,0.423,0.146,0.406,0.556,-0.0069999999999999785,0.22573600000000005,0.081176
Russia,RUS,2009,0.141,0.444,0.423,0.556,0.423,0.139,0.423,0.567,0.001999999999999974,0.23984099999999997,0.078813
Russia,RUS,2010,0.135,0.441,0.414,0.5589999999999999,0.414,0.141,0.423,0.556,-0.005999999999999978,0.235188,0.078396
Russia,RUS,2011,0.134,0.429,0.422,0.571,0.422,0.135,0.414,0.5589999999999999,-0.0010000000000000009,0.23142599999999997,0.07546499999999999
Russia,RUS,2012,0.122,0.381,0.398,0.619,0.398,0.134,0.422,0.571,-0.01200000000000001,0.24096199999999998,0.076514
Russia,RUS,2013,0.116,0.363,0.359,0.637,0.359,0.122,0.398,0.619,-0.0059999999999999915,0.246362,0.075518
Russia,RUS,2014,0.109,0.318,0.318,0.6819999999999999,0.318,0.116,0.359,0.637,-0.007000000000000006,0.228683,0.073892
Russia,RUS,2015,0.109,0.311,0.318,0.6890000000000001,0.318,0.109,0.318,0.6819999999999999,0.0,0.21687599999999999,0.07433799999999999
Russia,RUS,2016,0.106,0.306,0.318,0.694,0.318,0.109,0.318,0.6890000000000001,-0.0030000000000000027,0.21910200000000002,0.075101
Russia,RUS,2017,0.107,0.303,0.318,0.6970000000000001,0.318,0.106,0.318,0.694,0.0010000000000000009,0.220692,0.07356399999999999
Russia,RUS,2018,0.107,0.305,0.334,0.6950000000000001,0.334,0.107,0.318,0.6970000000000001,0.0,0.22164600000000004,0.074579
Russia,RUS,2019,0.105,0.303,0.326,0.6970000000000001,0.326,0.107,0.334,0.6950000000000001,-0.0020000000000000018,0.23213000000000003,0.074365
Russia,RUS,2020,0.097,0.288,0.348,0.712,0.348,0.105,0.326,0.6970000000000001,-0.007999999999999993,0.22722200000000004,0.073185
Russia,RUS,2021,0.094,0.271,0.286,0.729,0.286,0.097,0.348,0.712,-0.0030000000000000027,0.24777599999999997,0.069064
Russia,RUS,2022,0.07,0.156,0.19,0.844,0.19,0.094,0.286,0.729,-0.023999999999999994,0.20849399999999998,0.068526
Russia,RUS,2023,0.065,0.097,0.125,0.903,0.125,0.07,0.19,0.844,-0.0050000000000000044,0.16036,0.05908
Russia,RUS,2024,0.057,0.08,0.139,0.92,0.139,0.065,0.125,0.903,-0.008,0.112875,0.058695000000000004
Russia,RUS,2025,0.056,0.08,0.202,0.92,0.202,0.057,0.139,0.92,-0.0010000000000000009,0.12788000000000002,0.05244000000000001
Sweden,SWE,2000,0.876,0.97,0.948,0.030000000000000027,0.948,,,,,,
Sweden,SWE,2001,0.876,0.97,0.948,0.030000000000000027,0.948,0.876,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026280000000000022
Sweden,SWE,2002,0.876,0.97,0.948,0.030000000000000027,0.948,0.876,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026280000000000022
Sweden,SWE,2003,0.877,0.97,0.948,0.030000000000000027,0.948,0.876,0.948,0.030000000000000027,0.0010000000000000009,0.028440000000000024,0.026280000000000022
Sweden,SWE,2004,0.877,0.97,0.948,0.030000000000000027,0.948,0.877,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026310000000000024
Sweden,SWE,2005,0.877,0.97,0.948,0.030000000000000027,0.948,0.877,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026310000000000024
Sweden,SWE,2006,0.879,0.97,0.948,0.030000000000000027,0.948,0.877,0.948,0.030000000000000027,0.0020000000000000018,0.028440000000000024,0.026310000000000024
Sweden,SWE,2007,0.881,0.97,0.948,0.030000000000000027,0.948,0.879,0.948,0.030000000000000027,0.0020000000000000018,0.028440000000000024,0.026370000000000022
Sweden,SWE,2008,0.881,0.97,0.948,0.030000000000000027,0.948,0.881,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026430000000000023
Sweden,SWE,2009,0.881,0.97,0.948,0.030000000000000027,0.948,0.881,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026430000000000023
Sweden,SWE,2010,0.881,0.97,0.948,0.030000000000000027,0.948,0.881,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026430000000000023
Sweden,SWE,2011,0.881,0.97,0.948,0.030000000000000027,0.948,0.881,0.948,0.030000000000000027,0.0,0.028440000000000024,0.026430000000000023
Sweden,SWE,2012,0.886,0.973,0.948,0.027000000000000024,0.948,0.881,0.948,0.030000000000000027,0.0050000000000000044,0.028440000000000024,0.026430000000000023
Sweden,SWE,2013,0.885,0.972,0.95,0.028000000000000025,0.95,0.886,0.948,0.027000000000000024,-0.0010000000000000009,0.02559600000000002,0.023922000000000023
Sweden,SWE,2014,0.885,0.974,0.95,0.026000000000000023,0.95,0.885,0.95,0.028000000000000025,0.0,0.026600000000000023,0.02478000000000002
Sweden,SWE,2015,0.881,0.974,0.95,0.026000000000000023,0.95,0.885,0.95,0.026000000000000023,-0.0040000000000000036,0.02470000000000002,0.02301000000000002
Sweden,SWE,2016,0.88,0.972,0.95,0.028000000000000025,0.95,0.881,0.95,0.026000000000000023,-0.0010000000000000009,0.02470000000000002,0.02290600000000002
Sweden,SWE,2017,0.88,0.972,0.942,0.028000000000000025,0.942,0.88,0.95,0.028000000000000025,0.0,0.026600000000000023,0.024640000000000023
Sweden,SWE,2018,0.875,0.966,0.942,0.03400000000000003,0.942,0.88,0.942,0.028000000000000025,-0.0050000000000000044,0.02637600000000002,0.024640000000000023
Sweden,SWE,2019,0.866,0.966,0.946,0.03400000000000003,0.946,0.875,0.942,0.03400000000000003,-0.009000000000000008,0.03202800000000003,0.029750000000000026
Sweden,SWE,2020,0.868,0.966,0.946,0.03400000000000003,0.946,0.866,0.946,0.03400000000000003,0.0020000000000000018,0.032164000000000026,0.029444000000000026
