window_end,rho_bar,DB,max_drawdown_pct,drawdown_corr,tail_5,tail_3,tail_10,J,decile
2021-06-04,0.7627975003200824,1.1318409264414806,-0.5158040710621524,0.8728592367747956,1,1,1,3.2158071746689254,7
2021-06-05,0.7653909814962249,1.130246362407404,-0.5158040710621524,0.8728592367747956,1,1,1,3.2624107392696367,7
2021-06-06,0.7667101576190001,1.1291329849011356,-0.5158040710621524,0.8728592367747956,1,1,1,3.2865132480429162,7
2021-06-07,0.7699486049464489,1.1268930138663504,-0.5158040710621524,0.8728592367747956,1,1,1,3.3468547529008514,7
2021-06-08,0.7706477071550896,1.126549971715973,-0.5158040710621524,0.8728592367747956,1,1,1,3.3601046564474797,7
2021-06-09,0.7767054624138156,1.120898081851915,-0.5158040710621524,0.8728592367747956,1,1,1,3.478389891709879,7
2021-06-10,0.7779473578180685,1.120023805657647,-0.5158040710621524,0.8728592367747956,1,1,1,3.503436618334326,7
2021-06-11,0.7803169944857388,1.118404008376003,-0.5158040710621524,0.8728592367747956,1,1,1,3.5520134689484784,7
2021-06-12,0.7870508499592215,1.1137760776194066,-0.5158040710621524,0.8728592367747956,1,1,1,3.6959567568525435,7
2021-06-13,0.7912389236728349,1.110720036001253,-0.5158040710621524,0.8728592367747956,1,1,1,3.79016499432502,7
2021-06-14,0.7916874815521772,1.1103608864147159,-0.5158040710621524,0.8728592367747956,1,1,1,3.8004796228819795,7
2021-06-15,0.7942397585520843,1.1086286807075039,-0.5158040710621523,0.8728592367747956,1,1,1,3.860025401229571,7
2021-06-16,0.7959892534448428,1.107545241447564,-0.5158040710621525,0.8728592367747956,1,1,1,3.901702566583354,7
2021-06-17,0.8073900229025638,1.0984966139225005,-0.5158040710621524,0.8728592367747956,1,1,1,4.191839047331006,7
2021-06-18,0.810372887838114,1.0968535224170253,-0.5158040710621524,0.8728592367747956,1,1,1,4.2735075095500745,8
2021-06-19,0.8126361818717998,1.0955557204151103,-0.5158040710621524,0.8728592367747956,1,1,1,4.337209766486336,8
2021-06-20,0.8137527181877282,1.0949272806981087,-0.5158040710621524,0.8728592367747956,1,1,1,4.369205876561202,8
2021-06-21,0.8340533826788843,1.0825171681268488,-0.5720430326110171,0.8809367353180183,1,1,1,5.026034252117027,9
2021-06-22,0.8327268862801797,1.0829865908789857,-0.587192619878881,0.8777178831628325,1,1,1,4.978247058131429,9
2021-06-23,0.837659901999017,1.07979250220089,-0.587192619878881,0.8777178831628325,1,1,1,5.159907578680558,9
2021-06-24,0.8400524669753251,1.0782530231910807,-0.587192619878881,0.8777178831628325,1,1,1,5.2520501635103765,9
2021-06-25,0.8491190611971623,1.0723463743917898,-0.587192619878881,0.8777178831628325,1,1,1,5.62774243012062,9
2021-06-26,0.8491046447287635,1.0722716103084713,-0.587192619878881,0.8777178831628325,1,1,1,5.627109218852269,9
2021-06-27,0.8500165005433279,1.0717668933576303,-0.587192619878881,0.8777178831628325,1,1,1,5.6674001048287606,9
2021-06-28,0.8515442444971656,1.0708597677363925,-0.587192619878881,0.8777178831628325,1,1,1,5.7360136803918484,9
2021-06-29,0.8554018582280586,1.0687322730364093,-0.587192619878881,0.8777178831628325,1,1,1,5.915718194893465,9
2021-06-30,0.8569629105460408,1.067598607586452,-0.5871926198788809,0.8777178831628325,1,1,1,5.9911937093901795,9
2021-07-01,0.8578905901224115,1.0670918782962493,-0.5871926198788809,0.8777178831628325,1,1,1,6.036831697924785,9
2021-07-02,0.8630397533631197,1.064380483444248,-0.5871926198788809,0.8777178831628325,1,1,1,6.30138872085473,9
2021-07-03,0.8699683865113984,1.060314668362095,-0.587192619878881,0.8777178831628325,1,1,1,6.690437526468583,9
2021-07-04,0.8691438088486404,1.06048197475108,-0.5871926198788809,0.8777178831628325,1,1,1,6.6419769764146155,9
2021-07-05,0.8728923961623227,1.0584429926629464,-0.5871926198788809,0.8777178831628325,1,1,1,6.867349944516692,9
2021-07-06,0.8725053147080543,1.0586046151902377,-0.5871926198788809,0.8777178831628325,1,1,1,6.843464201744049,9
2021-07-07,0.8746703341036702,1.0576356649365317,-0.5871926198788809,0.8777178831628325,1,1,1,6.978956880226429,9
2021-07-08,0.8778967837888294,1.0559424352730367,-0.5796617229592977,0.8829455353935772,1,1,1,7.189792464357013,9
2021-07-09,0.8790557404568959,1.055372513519151,-0.5796617229592976,0.8829455353935772,1,1,1,7.268271712752137,9
2021-07-10,0.8782940978590893,1.055787723803026,-0.5712537190049871,0.8968187618033435,1,1,1,7.21652838859206,9
2021-07-11,0.8794290645781382,1.0549227036231084,-0.5712537190049872,0.8968187618033435,1,1,1,7.29387278535355,9
