J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,30,74,1,2,331,0.2721273337831172,0.0,active_coupling,1.0
0.5,30,75,1,2,302,0.19914468836846533,0.0,active_coupling,1.0
0.5,30,76,1,3,300,-0.43005521298882443,0.0,active_coupling,1.0
0.5,30,77,1,2,338,0.06626485146029928,0.0,active_coupling,1.0
0.5,30,78,1,3,443,0.2609088038631442,0.0,active_coupling,1.0
0.5,30,79,1,3,335,0.4604433962968277,0.0,active_coupling,1.0
0.5,30,80,1,2,314,-0.41213095289857077,0.0,active_coupling,1.0
0.5,30,81,1,3,323,0.46925081805470853,0.0,active_coupling,1.0
0.5,30,82,1,3,372,0.27572664956513526,0.0,active_coupling,1.0
0.5,30,83,1,3,366,-0.2002058365260572,0.0,active_coupling,1.0
0.5,30,84,1,3,388,-0.0942332856731385,0.0,active_coupling,1.0
0.5,30,85,1,3,351,0.035775907675428875,0.0,active_coupling,1.0
0.5,30,86,1,2,354,0.40840547486063083,0.0,active_coupling,1.0
0.5,30,87,1,3,295,-0.06510524867208248,0.0,active_coupling,1.0
0.5,30,88,1,3,315,0.37217715689660424,0.0,active_coupling,1.0
0.5,30,89,1,2,357,0.3552608158600279,0.0,active_coupling,1.0
0.5,30,90,1,3,345,-0.27663716242326775,0.0,active_coupling,1.0
0.5,30,91,1,2,336,0.5529841627614656,0.0,active_coupling,1.0
0.5,30,92,1,3,381,0.5053019666795026,0.0,active_coupling,1.0
0.5,30,93,1,2,345,-0.27632472655030615,0.0,active_coupling,1.0
0.5,30,94,1,2,371,0.7542122348767126,0.0,active_coupling,1.0
0.5,30,95,1,3,318,0.065818264255183,0.0,active_coupling,1.0
0.5,30,96,1,2,368,0.030520249749217705,0.0,active_coupling,1.0
0.5,30,97,1,3,393,-0.34361407985685527,0.0,active_coupling,1.0
0.5,30,98,1,2,275,0.12303540223383977,0.0,active_coupling,1.0
0.5,30,99,1,3,337,-0.14246750160209767,0.0,active_coupling,1.0
0.5,40,0,1,2,459,0.20068248509625572,0.0,active_coupling,1.0
0.5,40,1,1,3,443,-0.11405151340891442,0.0,active_coupling,1.0
0.5,40,2,1,3,359,-0.03182040091523025,0.0,active_coupling,1.0
0.5,40,3,1,3,648,0.13529329704542611,0.0,active_coupling,1.0
0.5,40,4,1,3,357,-0.0025058119202080453,0.0,active_coupling,1.0
0.5,40,5,1,2,371,0.4560525384772822,1.713136466451702,active_coupling,1.0
0.5,40,6,1,2,839,0.08907107650286722,0.0,active_coupling,1.0
0.5,40,7,1,3,353,0.313862212090834,3.4493450913017103,active_coupling,1.0
0.5,40,8,1,2,763,-0.35179550017317585,0.0,active_coupling,1.0
0.5,40,9,1,2,589,0.6701280059471079,2.714005164182965,active_coupling,1.0
0.5,40,10,1,2,877,-0.2806514372194124,0.0,active_coupling,1.0
0.5,40,11,1,3,314,0.3865111749028175,0.0,active_coupling,1.0
0.5,40,12,1,3,396,0.49079313440787886,2.8283438786359962,active_coupling,1.0
0.5,40,13,1,2,385,-0.14462082829166495,0.0,active_coupling,1.0
0.5,40,14,1,3,703,0.38303423776704415,0.0,active_coupling,1.0
0.5,40,15,1,3,424,-0.3939195099957987,0.0,active_coupling,1.0
0.5,40,16,1,3,601,0.28927940667043417,0.019071402647636848,active_coupling,1.0
0.5,40,17,1,2,601,-0.4485180086246053,0.0,active_coupling,1.0
0.5,40,18,1,2,365,0.43962487911774273,0.0,active_coupling,1.0
0.5,40,19,1,2,364,0.06855140018246979,0.0,active_coupling,1.0
0.5,40,20,1,2,589,-0.5173321681281928,0.0,active_coupling,1.0
0.5,40,21,1,2,727,-0.39664612562216645,0.0,active_coupling,1.0
0.5,40,22,1,3,430,0.3289958147037668,0.0,active_coupling,1.0
0.5,40,23,1,3,470,-0.15424818767480847,0.0,active_coupling,1.0
0.5,40,24,1,2,430,-0.5741433780522207,0.0,active_coupling,1.0
0.5,40,25,1,3,367,-0.2974018181103729,0.0,active_coupling,1.0
0.5,40,26,1,2,550,-0.5753285534343332,0.0,active_coupling,1.0
0.5,40,27,1,2,312,-0.5923566479010226,0.0,active_coupling,1.0
0.5,40,28,1,2,411,0.19136068416806523,2.3382659235645677,active_coupling,1.0
0.5,40,29,1,2,322,0.06456734421663632,0.0,active_coupling,1.0
0.5,40,30,1,3,466,-0.27624232724879116,0.0,active_coupling,1.0
0.5,40,31,1,3,631,-0.5675246627409294,0.0,active_coupling,1.0
0.5,40,32,1,3,336,0.24313186925364416,0.0,active_coupling,1.0
0.5,40,33,1,3,403,-0.6127018377727595,0.0,active_coupling,1.0
0.5,40,34,1,3,404,0.6232877915621907,0.3725978016971361,active_coupling,1.0
0.5,40,35,1,2,579,0.0623400643562462,0.0,active_coupling,1.0
0.5,40,36,1,3,446,0.2913598388914155,0.0,active_coupling,1.0
