J,mu,seed,collapsed,collapse_type,collapse_step,final_m,final_W,condition,alpha
0.5,50,49,1,2,1310,0.9903719432280574,788.6250801902584,active_stress,2.0
0.5,50,50,1,2,1192,0.999999,948.5751426729018,active_stress,2.0
0.5,50,51,0,0,-1,0.9039267037052225,940.3191883656041,active_stress,2.0
0.5,50,52,0,0,-1,0.8326904129734869,923.4047474915252,active_stress,2.0
0.5,50,53,0,0,-1,0.999999,949.0650489478469,active_stress,2.0
0.5,50,54,0,0,-1,0.994043734520459,947.9247548630108,active_stress,2.0
0.5,50,55,1,3,590,0.999999,951.8211412302911,active_stress,2.0
0.5,50,56,1,3,603,0.09505559420907568,83.76228441497867,active_stress,2.0
0.5,50,57,0,0,-1,0.9962667625599457,941.3436399150843,active_stress,2.0
0.5,50,58,0,0,-1,0.9964913475883858,920.6486475101402,active_stress,2.0
0.5,50,59,0,0,-1,0.9812157761075174,963.0172016162473,active_stress,2.0
0.5,50,60,1,3,1335,0.9853023845413096,929.104141976165,active_stress,2.0
0.5,50,61,0,0,-1,0.9099978591439283,941.8377438642391,active_stress,2.0
0.5,50,62,0,0,-1,0.8520355583516248,962.3760065457634,active_stress,2.0
0.5,50,63,0,0,-1,0.8834608860295194,909.2550225720229,active_stress,2.0
0.5,50,64,0,0,-1,0.9685363516216278,932.995131698558,active_stress,2.0
0.5,50,65,1,3,1901,0.8795959946138245,950.331032221546,active_stress,2.0
0.5,50,66,0,0,-1,0.9594439325789524,938.6890060694957,active_stress,2.0
0.5,50,67,0,0,-1,0.9791812491461052,949.9038059717916,active_stress,2.0
0.5,50,68,0,0,-1,0.999999,962.6327129904404,active_stress,2.0
0.5,50,69,1,2,1305,0.9982430380748506,872.6236085977323,active_stress,2.0
