ramp_steps,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
1000,60,65,0,-1,,0,0.999999,1485.270826212937
1000,60,66,0,-1,,0,0.9932013288638492,1464.6633158812294
1000,60,67,0,-1,,0,0.999999,1489.325065433807
1000,60,68,0,-1,,0,0.999999,1486.8405447031819
1000,60,69,0,-1,,0,0.8640831961193702,1482.4875998574335
1000,60,70,0,-1,,0,0.9996702859650948,1487.0928181177458
1000,60,71,0,-1,,0,0.9709780802374808,1474.348528439526
1000,60,72,0,-1,,0,0.9996528075606357,1489.6689616567194
1000,60,73,0,-1,,0,0.9995378897735385,1468.4275574306382
1000,60,74,1,579,3.1055,1,0.93918005444097,1484.8503712974505
1000,60,75,0,-1,,0,0.999999,1486.0357178321121
1000,60,76,0,-1,,0,0.999999,1442.9191052807
1000,60,77,0,-1,,0,0.9556189031213999,1485.6019378404944
1000,60,78,0,-1,,0,0.9928036586492773,1482.9377673977538
1000,60,79,0,-1,,0,0.999999,1484.470734066662
1000,60,80,0,-1,,0,0.999999,1479.757844494717
1000,60,81,1,674,3.533,1,0.9581724550880191,1479.482729692678
1000,60,82,0,-1,,0,0.7116319494158422,1462.722929694323
1000,60,83,0,-1,,0,0.999999,1480.2530960401402
1000,60,84,0,-1,,0,0.9991577505642958,1483.491736799002
1000,60,85,0,-1,,0,0.9962635379299007,1488.0613386090206
1000,60,86,0,-1,,0,0.9996509822884068,1480.6745074934533
1000,60,87,1,607,3.2315,3,0.9990425329008873,1466.5420826295888
1000,60,88,0,-1,,0,0.999999,1478.7146582353937
1000,60,89,0,-1,,0,0.999999,1454.8145004148892
1000,60,90,0,-1,,0,0.999999,1476.9196677662978
1000,60,91,0,-1,,0,0.999999,1474.9165144879905
1000,60,92,0,-1,,0,0.999999,1471.157976888275
1000,60,93,0,-1,,0,0.9997819749031637,1470.3349200798602
1000,60,94,0,-1,,0,0.9998579621865218,1464.3185463464613
1000,60,95,0,-1,,0,0.9480809739227026,1483.6252127566918
1000,60,96,0,-1,,0,0.9980622269392795,1480.2161130688014
1000,60,97,0,-1,,0,0.999961416729082,1476.7263425989029
1000,60,98,0,-1,,0,0.9997667494518606,1487.9228794124185
1000,60,99,0,-1,,0,0.999999,1482.8042948456123
1000,65,0,0,-1,,0,0.999999,1721.0250493468036
1000,65,1,0,-1,,0,0.9468269360953635,1726.962725221801
1000,65,2,0,-1,,0,0.9015304051331658,1688.2491247885678
1000,65,3,0,-1,,0,0.9988353312956194,1730.927402832709
1000,65,4,0,-1,,0,0.999996761946957,1711.6001955553052
1000,65,5,0,-1,,0,0.8752564362576389,1692.5163504882244
1000,65,6,0,-1,,0,0.9419008077482115,1731.9294834495674
1000,65,7,0,-1,,0,0.9995643678424456,1728.832447502861
1000,65,8,0,-1,,0,0.9809850938160877,1729.877812104269
1000,65,9,0,-1,,0,0.999999,1724.5852331419055
1000,65,10,0,-1,,0,0.999999,1714.187027899693
1000,65,11,0,-1,,0,0.999999,1701.30445503313
1000,65,12,0,-1,,0,0.999999,1710.6941693497474
1000,65,13,0,-1,,0,0.8807844398788804,1736.0512159238122
1000,65,14,0,-1,,0,0.999999,1730.6554611252545
1000,65,15,0,-1,,0,0.9997864401404684,1687.1809917505946
1000,65,16,0,-1,,0,0.999999,1726.5100794875398
1000,65,17,0,-1,,0,0.9886915439140402,1681.0232397972115
1000,65,18,0,-1,,0,0.9986656379498213,1734.6909218352191
1000,65,19,0,-1,,0,0.6568375544101596,1707.3075454473199
1000,65,20,0,-1,,0,0.9971388225053495,1714.3725807947278
1000,65,21,1,368,2.1559999999999997,3,0.999999,1732.1771637063207
1000,65,22,0,-1,,0,0.5955631222747753,1714.2376775027858
1000,65,23,0,-1,,0,0.9998541855606886,1732.703608505588
1000,65,24,0,-1,,0,0.999999,1716.0610008172791
1000,65,25,0,-1,,0,0.9996202696117819,1726.405554556552
1000,65,26,0,-1,,0,0.9988903045606911,1734.6478503689589
1000,65,27,0,-1,,0,0.999999,1728.4878250365825
1000,65,28,0,-1,,0,0.6874320963668745,1736.4976642128715
1000,65,29,0,-1,,0,0.9988390701512301,1716.232324274659
1000,65,30,0,-1,,0,0.9999870375145392,1719.5747119500747
1000,65,31,0,-1,,0,0.999999,1737.1142054356872
1000,65,32,0,-1,,0,0.9282670392872217,1724.6679219816463
1000,65,33,0,-1,,0,0.9488482861002275,1732.3771171631379
1000,65,34,0,-1,,0,0.9979484567271382,1737.9365429491947
1000,65,35,0,-1,,0,0.8945222000044694,1735.828977569649
1000,65,36,0,-1,,0,0.9999776195993539,1739.1342138367672
1000,65,37,0,-1,,0,0.999999,1730.5477150983152
1000,65,38,0,-1,,0,0.9996460900524494,1735.9429907012493
1000,65,39,0,-1,,0,0.999999,1732.870254035597
1000,65,40,0,-1,,0,0.9412103680456714,1726.9632112060888
1000,65,41,0,-1,,0,0.999999,1731.9241075768812
1000,65,42,0,-1,,0,0.999999,1717.8888948108647
1000,65,43,0,-1,,0,0.9169823292799316,1720.1967677730681
1000,65,44,0,-1,,0,0.999999,1728.4001761612808
1000,65,45,0,-1,,0,0.999999,1726.6813023645338
1000,65,46,0,-1,,0,0.999999,1712.1706830639914
1000,65,47,0,-1,,0,0.999529667958318,1723.8228011854915
1000,65,48,0,-1,,0,0.9999552182524688,1732.2369512633488
1000,65,49,0,-1,,0,0.999999,1712.740062055945
1000,65,50,0,-1,,0,0.999999,1731.4753897191842
1000,65,51,0,-1,,0,0.999999,1724.5567235540193
1000,65,52,0,-1,,0,0.9997090885713596,1714.8738870716088
1000,65,53,0,-1,,0,0.99896302904978,1714.534773206922
1000,65,54,0,-1,,0,0.9954813797115739,1730.0994646732029
1000,65,55,0,-1,,0,0.9894172907746671,1728.8609312383298
1000,65,56,0,-1,,0,0.9997842441564734,1727.6601970266404
1000,65,57,0,-1,,0,0.99868256081276,1739.7581339813917
1000,65,58,0,-1,,0,0.9987607202305513,1727.2582126877758
1000,65,59,0,-1,,0,0.999999,1709.707612509951
1000,65,60,0,-1,,0,0.999999,1728.7471362827193
1000,65,61,0,-1,,0,0.999999,1717.4583043923178
1000,65,62,0,-1,,0,0.9908276794723216,1730.6484118178319
1000,65,63,0,-1,,0,0.999999,1710.8296557567955
1000,65,64,0,-1,,0,0.9997765428981165,1723.6269533841355
1000,65,65,0,-1,,0,0.9997145898380029,1719.8890799328562
1000,65,66,0,-1,,0,0.999999,1731.4677934945537
1000,65,67,0,-1,,0,0.999999,1740.2759362235497
1000,65,68,0,-1,,0,0.999999,1681.154445921826
1000,65,69,0,-1,,0,0.9999182578685688,1730.4336093239729
1000,65,70,0,-1,,0,0.999999,1731.3660995924608
1000,65,71,0,-1,,0,0.999999,1738.1402332615348
1000,65,72,0,-1,,0,0.9997487307597362,1734.8919097522107
1000,65,73,0,-1,,0,0.999999,1702.5237186196
1000,65,74,0,-1,,0,0.9998678565061909,1734.2931898687798
1000,65,75,0,-1,,0,0.9999686733418327,1737.6690297881369
1000,65,76,0,-1,,0,0.999999,1732.3301848482984
1000,65,77,0,-1,,0,0.9953646184162895,1719.4903148875712
1000,65,78,0,-1,,0,0.9911416666987418,1726.7712216063558
1000,65,79,0,-1,,0,0.9673734260811606,1730.5965003827278
1000,65,80,0,-1,,0,0.9985816696939593,1732.2133082855269
1000,65,81,0,-1,,0,0.8306776722257436,1686.6641210284574
1000,65,82,0,-1,,0,0.999999,1720.408220324718
1000,65,83,0,-1,,0,0.999999,1730.415482009068
