level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC
L2,0.5,40,41,1,430,2,-0.5707465088568104,0.0,0.1786153793919125
L2,0.5,40,42,1,320,3,0.48538134770050323,0.0,0.4917232231413118
L2,0.5,40,43,1,600,2,0.37749200708513797,0.0,0.8785142281804088
L2,0.5,40,44,1,397,3,-0.07344349145791021,0.0,0.15762513428431518
L2,0.5,40,45,1,510,2,-0.6436514915922378,0.0,0.06876029645869706
L2,0.5,40,46,1,365,3,0.23481768706704287,0.0,0.6353968449157228
L2,0.5,40,47,1,372,3,-0.14965180165860212,0.0,0.161674073448681
L2,0.5,40,48,1,400,2,-0.176118153466193,0.0,0.2096341854616013
L2,0.5,40,49,1,432,2,0.257366384660809,0.0,0.5744271786351325
L2,0.5,40,50,1,324,3,-0.09200617191595206,0.0,0.23269473933492035
L2,0.5,40,51,1,428,3,-0.018222404895494718,0.0,0.4408687973078801
L2,0.5,40,52,1,347,3,-0.06696237884048223,0.0,0.6064189357618944
L2,0.5,40,53,1,373,2,-0.37611529272935207,0.0,0.7788415930417348
L2,0.5,40,54,1,444,3,-0.01111402985840905,0.0,0.4473439500730776
L2,0.5,40,55,1,402,3,0.21633177119974667,0.0,0.3499129512731734
L2,0.5,40,56,1,451,3,0.5319710614474917,0.03197106144749178,0.09587520438315206
L2,0.5,40,57,1,471,3,0.8076406788584762,0.8652040903197344,0.10142455350807557
L2,0.5,40,58,1,342,3,-0.008978262616693045,0.0,0.23974576768605999
L2,0.5,40,59,1,403,3,0.029887906704523667,0.0,0.9407121028835187
L2,0.5,40,60,1,306,3,0.6458135515967389,0.28473685832606166,0.22821871854071007
L2,0.5,40,61,1,414,3,0.1861284188026205,0.0,0.10435927806418187
