level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC,minsky_count
L3,0.5,40,7,1,391,3,0.6671699475494918,0.0,0.09068327570579159,34
L3,0.5,40,8,1,364,2,-0.1710379471949569,0.0,0.09772627822020698,30
L3,0.5,40,9,1,350,2,-0.43883144305023036,0.0,0.18167782462554366,25
L3,0.5,40,10,1,337,2,-0.026618990526356495,0.0,0.14567380416482653,30
L3,0.5,40,11,1,360,3,0.36098344184059833,1.6606054902609748,0.0883374459217592,26
L3,0.5,40,12,1,371,2,0.5059964693131144,0.005996469313114261,0.10415447956080272,28
L3,0.5,40,13,1,338,3,0.958651654257012,0.0,0.060537917827146494,27
L3,0.5,40,14,1,357,2,-0.1160415029193182,0.0,0.12018735608211041,29
L3,0.5,40,15,1,340,3,-0.42120966389869663,0.0,0.120534720280818,30
L3,0.5,40,16,1,362,2,-0.44522197605560376,0.0,0.08067520323417221,20
L3,0.5,40,17,1,353,3,0.39714345791652594,0.0,0.16048722282981853,23
L3,0.5,40,18,1,354,2,-0.009968429625236155,0.0,0.546428896032086,23
L3,0.5,40,19,1,375,2,-0.42979461983996736,0.0,0.11351756893039869,21
L3,0.5,40,20,1,381,3,-0.5241261741766371,0.0,0.1628587972315614,23
L3,0.5,40,21,1,366,2,-0.20508013514648796,0.0,0.2156224924846074,21
L3,0.5,40,22,1,288,1,0.41776156270960985,1.9151226773766328,0.08674888885951851,25
L3,0.5,40,23,1,379,2,0.359689345404664,1.6558861218881555,0.08272706544052989,24
L3,0.5,40,24,1,338,3,0.25741436796941103,0.0,0.7969461004778283,28
L3,0.5,40,25,1,331,3,-0.40294886003600866,0.0,0.2061687337731307,31
L3,0.5,40,26,1,378,3,-0.4198759071598825,0.0,0.14134023238155627,25
L3,0.5,40,27,1,354,3,0.09284730179403627,0.0,0.38374977985192227,38
L3,0.5,40,28,1,377,3,0.07483081762564367,3.2424074635560025,0.09266410478102695,23
L3,0.5,40,29,1,318,2,0.5523150707810031,1.2042561139592605,0.08503004535873367,26
L3,0.5,40,30,1,372,2,0.5162148524506424,0.016214852450642248,0.09528417967941552,32
L3,0.5,40,31,1,314,3,0.042270995613362616,0.0,0.21769889831514896,36
L3,0.5,40,32,1,366,2,-0.024732110630057594,0.0,0.1290522482786428,28
L3,0.5,40,33,1,351,2,-0.024729007100376788,0.0,0.7345576980897419,23
L3,0.5,40,34,1,335,3,0.4274441918929393,0.10560763393597077,0.10325899808973449,27
L3,0.5,40,35,1,363,2,-0.24573313251723689,0.0,0.11306819436960411,27
L3,0.5,40,36,1,317,2,-0.9155841401682016,0.0,0.061294995207410205,30
L3,0.5,40,37,1,343,3,0.6175813594338121,0.0,0.06485336267447643,26
L3,0.5,40,38,1,335,3,-0.3320790725120557,0.0,0.1796072804610466,30
L3,0.5,40,39,1,378,3,0.10832881427032123,0.0,0.325698870246653,27
L3,0.5,40,40,1,296,3,-0.4485730711712364,0.0,0.1539060577422378,24
L3,0.5,40,41,1,343,3,-0.2354784764888877,0.0,0.5174962684299386,23
L3,0.5,40,42,1,392,3,-0.6197050474940042,0.0,0.07880080351645292,23
L3,0.5,40,43,1,322,3,0.06916623436364185,0.0,0.21538591790672695,25
L3,0.5,40,44,1,391,2,0.07872414540699445,0.0,0.3556454934175169,24
L3,0.5,40,45,1,368,2,-0.250411377935004,0.0,0.08193270493283968,25
L3,0.5,40,46,1,350,3,0.3450065914584237,6.572372173479759,0.09087995893579176,25
L3,0.5,40,47,1,308,2,0.1001362437608356,0.0,0.3612453686887466,30
L3,0.5,40,48,1,377,2,0.11664863753065734,0.0,0.1750873869168428,26
L3,0.5,40,49,1,358,3,-0.0492077059746881,0.0,0.1962005488383314,24
L3,0.5,40,50,1,375,3,-0.25933707246946686,0.0,0.4519720002602918,26
L3,0.5,40,51,1,378,2,-0.5475960172070417,0.0,0.10962654080690983,23
L3,0.5,40,52,1,364,3,0.601816244940509,0.8125518702802234,0.41743193500380815,33
L3,0.5,40,53,1,346,2,-0.2417208152136872,0.0,0.09719824297266204,22
L3,0.5,40,54,1,328,2,0.4963233363846182,0.04885367248359192,0.663197461259233,27
L3,0.5,40,55,1,315,2,-0.395226518632598,0.0,0.738055709285252,24
L3,0.5,40,56,1,378,2,0.07682085701705421,0.0,0.18812183930566503,20
L3,0.5,40,57,1,358,2,-0.02711563549858822,0.0,0.6534907525215632,31
L3,0.5,40,58,1,339,3,0.029082362699005757,0.0,0.36522559887840134,28
L3,0.5,40,59,1,385,2,-0.2047697817079163,0.0,0.37315721151188896,25
L3,0.5,40,60,1,372,3,0.3912363444910669,0.0,0.08968850261089356,18
L3,0.5,40,61,1,347,2,0.5597860835203987,0.05978608352039867,0.32370646583853413,25
L3,0.5,40,62,1,347,2,-0.4453589620633154,0.0,0.15935422028474042,29
L3,0.5,40,63,1,343,3,0.667998791054649,1.531612584559206,0.30874652487985516,25
L3,0.5,40,64,1,366,2,0.06856384262200363,0.0,0.869443940288095,24
L3,0.5,40,65,1,310,3,0.07211850083372778,0.0,0.16640927269082859,25
L3,0.5,40,66,1,354,2,0.10639817404064762,0.0,0.2840280945457863,29
L3,0.5,40,67,1,345,2,0.4386032524351816,0.0,0.08812703632432618,29
L3,0.5,40,68,1,395,2,-0.2550316150180296,0.0,0.5659692208983109,21
L3,0.5,40,69,1,336,3,-0.6511644085634399,0.0,0.07171699094348927,27
L3,0.5,40,70,1,380,3,-0.19504610166740072,0.0,0.6067136197752047,28
L3,0.5,40,71,1,362,3,-0.11726417449330018,0.0,0.15945841987599696,20
L3,0.5,40,72,1,383,2,0.2890370798366723,0.0,0.11761848289550027,30
L3,0.5,40,73,1,351,2,-0.08873174548880117,0.0,0.7831549415571787,26
L3,0.5,40,74,1,381,2,-0.38765482192437417,0.0,0.09654076544341335,25
L3,0.5,40,75,1,369,2,0.14207740267353355,0.0,0.2558213376039249,23
L3,0.5,40,76,1,339,2,-0.4018376803481379,0.0,0.09756161588985361,24
L3,0.5,40,77,1,336,2,-0.5888265229189572,0.0,0.07770790769961686,25
L3,0.5,40,78,1,392,3,-0.28843728645531186,0.0,0.15216536126104152,24
L3,0.5,40,79,1,371,2,0.16554623409914687,0.0,0.17657936730734422,22
L3,0.5,40,80,1,376,2,0.27869810410180385,26.193180644345972,0.17761421996753773,19
L3,0.5,40,81,1,343,3,0.04742552111927332,0.0,0.29762959860215554,27
L3,0.5,40,82,1,363,3,-0.07498643507058703,0.0,0.3029019485773248,22
L3,0.5,40,83,1,331,2,0.4727765086339572,0.0,0.12426879631418304,24
L3,0.5,40,84,1,397,2,-0.26873012461987217,0.0,0.37633105886604795,27
L3,0.5,40,85,1,377,2,-0.35590131264643665,0.0,0.789977498145084,24
L3,0.5,40,86,1,370,3,0.5126011852277451,17.783027088673364,0.0831784958974339,26
L3,0.5,40,87,1,366,2,-0.8929023348056043,0.0,0.08216678406199361,27
L3,0.5,40,88,1,356,2,-0.5928560425977552,0.0,0.21099828835032383,27
L3,0.5,40,89,1,396,3,-0.17445025588437368,0.0,0.7371742175364163,24
L3,0.5,40,90,1,329,3,0.2612759686482547,0.0,0.7185941146360323,27
L3,0.5,40,91,1,343,3,0.22368686297710194,0.0,0.22913339054178936,26
