schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,40,74,1,340,0.551,3,0.9999502602969658,482.48907947213894
linear,40,75,1,485,0.57275,2,0.9999899166560771,476.16656385988136
linear,40,76,1,298,0.5447,3,0.9992956379459319,479.9809367413493
linear,40,77,1,420,0.563,2,0.999999,490.88926085286465
linear,40,78,1,419,0.56285,2,0.999999,451.01807218585503
linear,40,79,1,343,0.55145,3,0.999999,472.71852915038534
linear,40,80,1,372,0.5558,2,0.999999,483.7789066261598
linear,40,81,1,465,0.56975,2,0.966395019687941,486.498397578499
linear,40,82,1,459,0.56885,2,0.999999,466.1185849241856
linear,40,83,1,744,0.6116,3,0.999999,447.8045775041972
linear,40,84,1,346,0.5519000000000001,3,0.9999393745017261,487.8215218187468
linear,40,85,1,492,0.5738,3,0.7492357893665815,476.35610262304806
linear,40,86,1,546,0.5819,2,0.9998085706424381,466.9686064500935
linear,40,87,1,333,0.54995,3,0.8875308910769544,482.3179863666416
linear,40,88,1,343,0.55145,3,0.9998977117407677,487.7348215975101
linear,40,89,1,602,0.5903,2,0.9947734108881147,479.0127725496483
linear,40,90,1,382,0.5573,3,0.9989570704703566,480.337166288817
linear,40,91,1,391,0.55865,2,0.9999080843265848,467.75444310640296
linear,40,92,1,409,0.56135,3,0.999953772915047,479.5012404540035
linear,40,93,1,404,0.5606,2,0.9999529519146104,484.74563034120905
linear,40,94,1,335,0.55025,3,0.9999307972240868,485.4737571400374
linear,40,95,1,366,0.5549,3,0.999999,475.9332354315889
linear,40,96,1,439,0.56585,2,0.999999,489.9843519131849
linear,40,97,1,491,0.57365,3,0.9997193704045888,485.296348414128
linear,40,98,1,317,0.54755,3,0.999999,477.46422512885357
linear,40,99,1,552,0.5828,2,0.74837433698563,469.48285459531786
linear,50,0,1,1797,0.76955,3,0.9995128001465441,985.6271378497387
linear,50,1,1,661,0.59915,3,0.988025862147066,971.1160949067921
linear,50,2,0,-1,,0,0.999999,982.4825412769158
linear,50,3,0,-1,,0,0.999999,985.1954971808515
linear,50,4,0,-1,,0,0.999999,973.582925246492
linear,50,5,0,-1,,0,0.999999,972.3866061102316
linear,50,6,1,1440,0.716,2,0.999999,983.8256018990714
linear,50,7,0,-1,,0,0.9922266040319873,984.0628265819232
linear,50,8,0,-1,,0,0.9262453234765589,975.8158911849637
linear,50,9,1,885,0.63275,3,0.9998985691436171,988.9228918784446
linear,50,10,1,1208,0.6812,2,0.9975352876700144,970.1721779548818
linear,50,11,0,-1,,0,0.999999,985.3338819039247
linear,50,12,0,-1,,0,0.999999,985.6060573978687
linear,50,13,1,671,0.60065,2,0.999999,986.8537519544424
linear,50,14,1,445,0.56675,3,0.9999117914116596,986.1263774716699
linear,50,15,1,816,0.6224,3,0.999999,958.2885698051556
linear,50,16,1,615,0.5922499999999999,2,0.9999270019371468,979.4390973023096
linear,50,17,1,983,0.64745,2,0.9999277926225195,986.9989153381621
linear,50,18,0,-1,,0,0.9999558776369396,975.1236640626036
linear,50,19,1,732,0.6098,2,0.9999944060887791,983.6371071915112
linear,50,20,1,342,0.5513,2,0.999999,970.7794541860978
linear,50,21,0,-1,,0,0.9932911181109314,990.5367428817497
linear,50,22,1,641,0.59615,2,0.6857046617875384,964.1238933495957
linear,50,23,0,-1,,0,0.9975613978623045,982.4098693455369
linear,50,24,0,-1,,0,0.999999,981.852339989719
linear,50,25,1,599,0.58985,3,0.9334478326978142,973.3151626779716
linear,50,26,1,1095,0.66425,3,0.999999,983.0298986702135
linear,50,27,0,-1,,0,0.9999264737820572,976.0342979681556
linear,50,28,1,346,0.5519000000000001,2,0.999999,983.3561243918418
linear,50,29,1,418,0.5627,3,0.9993002904340708,963.799382305434
